place,canonical,n_colonies,n_mentions,first_year,last_year,global_role,has_geo_cue
northern_nigeria,Northern Nigeria,8,365,1900,1965,local,True
johore,Johore,18,352,1867,1963,local,True
port_elizabeth,Port Elizabeth,6,349,1867,1940,local,True
gozo,Gozo,3,344,1877,1964,local,True
the_island,The Island,37,341,1867,1966,external_reference,True
rarotonga,Rarotonga,7,340,1890,1966,ambiguous,True
sekondi,Sekondi,7,340,1894,1956,ambiguous,True
venezuela,Venezuela,13,339,1867,1966,ambiguous,True
kuching,Kuching,8,335,1888,1963,ambiguous,True
cuba,Cuba,17,334,1867,1966,ambiguous,True
kandy,Kandy,4,333,1867,1950,local,False
pemba,Pemba,3,333,1896,1963,local,True
manitoba,Manitoba,3,326,1877,1922,local,True
bridgetown,Bridgetown,6,324,1867,1966,local,True
pahang,Pahang,17,322,1889,1957,local,True
fijian,Fijian,4,321,1877,1966,local,False
lusaka,Lusaka,4,320,1925,1964,local,True
selangor,Selangor,15,317,1880,1963,local,True
madras,Madras,15,310,1867,1955,ambiguous,False
gold_coast_colony,Gold Coast Colony,12,309,1877,1952,ambiguous,False
east_london,East London,5,307,1867,1940,local,True
grand_turk,Grand Turk,1,307,1877,1966,local,True
sumatra,Sumatra,13,305,1877,1963,ambiguous,True
siam,Siam,20,303,1877,1963,ambiguous,True
brazil,Brazil,13,302,1867,1966,trading_partner,True
falkland_islands,Falkland Islands,7,300,1877,1966,ambiguous,True
galle,Galle,5,298,1867,1946,local,False
hamburg,Hamburg,23,297,1886,1963,ambiguous,True
australasia,Australasia,24,293,1877,1966,ambiguous,True
vancouver,Vancouver,20,292,1867,1963,ambiguous,True
paphos,Paphos,1,292,1883,1959,local,True
swaziland,Swaziland,19,291,1883,1966,ambiguous,True
negri_sembilan,Negri Sembilan,15,291,1889,1957,local,False
sokoto,Sokoto,5,291,1894,1960,local,True
kelantan,Kelantan,17,288,1906,1963,local,True
scotland,Scotland,38,286,1867,1966,external_reference,False
jinja,Jinja,8,285,1912,1962,ambiguous,True
yola,Yola,4,284,1894,1951,local,True
wellington,Wellington,11,283,1867,1924,ambiguous,True
haifa,Haifa,3,282,1921,1966,local,True
valletta,Valletta,3,273,1880,1964,local,True
south_georgia,South Georgia,3,273,1888,1966,local,True
adelaide,Adelaide,12,271,1867,1927,ambiguous,True
montego_bay,Montego Bay,7,269,1888,1966,ambiguous,True
kyrenia,Kyrenia,1,267,1883,1959,local,True
entebbe,Entebbe,12,266,1906,1966,ambiguous,False
lake_chad,Lake Chad,5,265,1894,1960,local,True
new_brunswick,New Brunswick,5,262,1867,1922,local,True
bechuanaland_protectorate,Bechuanaland Protectorate,16,262,1890,1966,ambiguous,False
st_joseph,St. Joseph,23,260,1867,1966,ambiguous,True
trans_jordan,Trans-Jordan,3,256,1927,1946,local,True
broken_hill,Broken Hill,8,248,1894,1964,ambiguous,True
port_harcourt,Port Harcourt,3,248,1914,1960,local,True
perth,Perth,8,247,1867,1966,ambiguous,True
johannesburg,Johannesburg,19,247,1889,1966,ambiguous,True
caicos_islands,Caicos Islands,10,246,1867,1966,ambiguous,True
cape_st,Cape St,6,246,1867,1965,local,True
ascension,Ascension,13,245,1867,1966,ambiguous,True
western_pacific,Western Pacific,19,244,1878,1966,ambiguous,False
ontario,Ontario,5,239,1867,1961,local,True
portugal,Portugal,28,239,1867,1966,external_reference,True
beira,Beira,20,238,1894,1954,ambiguous,True
iraq,Iraq,8,232,1923,1957,ambiguous,True
lake_tanganyika,Lake Tanganyika,14,231,1896,1961,ambiguous,True
san_francisco,San Francisco,18,229,1877,1963,ambiguous,True
southampton,Southampton,23,227,1877,1957,ambiguous,False
canton,Canton,12,226,1877,1952,ambiguous,True
zululand,Zululand,6,226,1880,1922,local,True
kuala_lumpur,Kuala Lumpur,13,226,1889,1963,ambiguous,True
jaffa,Jaffa,3,223,1878,1946,local,True
dahomey,Dahomey,12,223,1894,1951,ambiguous,True
viti_levu,Viti Levu,4,220,1877,1966,local,True
miami,Miami,16,220,1905,1966,ambiguous,True
new_guinea,New Guinea,12,217,1888,1963,ambiguous,True
perlis,Perlis,12,216,1913,1957,local,False
madeira,Madeira,18,215,1867,1940,ambiguous,True
florida,Florida,18,214,1888,1966,ambiguous,True
mexico,Mexico,26,213,1867,1966,external_reference,True
rodrigues,Rodrigues,2,213,1877,1966,local,True
port_antonio,Port Antonio,2,212,1867,1961,local,True
forcados,Forcados,9,210,1894,1951,local,True
anguilla,Anguilla,16,209,1867,1966,ambiguous,True
st_andrew,St. Andrew,20,209,1867,1966,ambiguous,True
carriacou,Carriacou,12,209,1877,1966,ambiguous,True
trincomalee,Trincomalee,2,207,1867,1946,local,False
honduras,Honduras,17,207,1867,1966,ambiguous,True
calcutta,Calcutta,16,207,1877,1953,ambiguous,False
belgium,Belgium,34,207,1894,1963,external_reference,False
takoradi,Takoradi,5,207,1920,1956,local,True
canadian,Canadian,24,206,1877,1966,ambiguous,True
river_colony,River Colony,9,206,1905,1927,ambiguous,True
newcastle,Newcastle,14,205,1867,1961,ambiguous,True
niger_coast_protectorate,Niger Coast Protectorate,9,201,1896,1951,local,False
long_island,Long Island,7,200,1867,1966,ambiguous,True
mashonaland,Mashonaland,12,200,1894,1934,ambiguous,True
zomba,Zomba,7,200,1896,1964,ambiguous,False
stann_creek,Stann Creek,2,199,1888,1966,local,True
victoria_falls,Victoria Falls,14,199,1898,1966,ambiguous,True
nakuru,Nakuru,8,198,1914,1963,ambiguous,True
guinea,Guinea,15,197,1867,1951,local,True
black_river,Black River,4,195,1878,1954,local,True
curepipe,Curepipe,2,194,1883,1966,local,True
sicily,Sicily,3,193,1877,1957,local,False
new_hebrides,New Hebrides,16,193,1889,1966,ambiguous,False
akwapim,Akwapim,4,192,1890,1950,local,False
orange_river_colony,Orange River Colony,9,192,1905,1927,ambiguous,False
prince,Prince,24,191,1867,1963,ambiguous,True
madrid,Madrid,11,189,1867,1966,ambiguous,False
st_ann,St. Ann,10,188,1867,1954,ambiguous,True
jamestown,Jamestown,2,187,1877,1966,local,True
capetown,Capetown,14,186,1886,1951,ambiguous,True
west_africa_settlements,West Africa Settlements,14,185,1867,1951,ambiguous,False
west_falkland,West Falkland,2,184,1867,1966,local,False
south_america,South America,40,184,1877,1966,external_reference,True
punta_gorda,Punta Gorda,1,184,1888,1964,local,True
gulf_of_guinea,Gulf of Guinea,14,183,1867,1951,local,True
st_james,St. James,13,182,1867,1955,ambiguous,True
the_gold_coast,The Gold Coast,8,179,1877,1957,local,False
kudat,Kudat,5,179,1890,1963,local,False
britain,Britain,34,179,1896,1966,external_reference,True
fort_jameson,Fort Jameson,4,178,1900,1952,local,True
rotumah,Rotumah,1,176,1883,1940,local,True
bornu,Bornu,3,176,1900,1960,local,True
mukalla,Mukalla,2,176,1939,1966,local,True
hobart,Hobart,6,175,1888,1927,local,True
lake_albert,Lake Albert,5,174,1906,1962,local,True
st_christopher,St. Christopher,21,173,1867,1966,ambiguous,True
monte_video,Monte Video,4,173,1877,1951,local,True
ireland_island,Ireland Island,4,172,1877,1960,local,True
dunedin,Dunedin,2,172,1877,1922,local,True
brisbane,Brisbane,12,171,1867,1927,ambiguous,True
eleuthera,Eleuthera,5,170,1867,1966,local,False
cook,Cook,8,168,1867,1966,ambiguous,False
prince_edward_island,Prince Edward Island,5,166,1867,1922,local,True
pietermaritzburg,Pietermaritzburg,5,164,1877,1922,local,True
table_bay,Table Bay,5,162,1867,1923,local,True
matabeleland,Matabeleland,8,162,1896,1927,ambiguous,True
presidencies,Presidencies,4,160,1877,1957,local,False
pamplemousses,Pamplemousses,2,159,1878,1966,local,True
brass,Brass,15,159,1889,1951,ambiguous,True
abeokuta,Abeokuta,4,159,1896,1960,local,True
yemen,Yemen,2,159,1923,1966,local,True
java,Java,16,158,1877,1957,ambiguous,False
cape_government,Cape Government,12,157,1877,1951,ambiguous,True
inagua,Inagua,6,156,1867,1966,local,False
north_island,North Island,3,156,1877,1966,local,True
north_eastern_rhodesia,North-Eastern Rhodesia,7,156,1900,1964,ambiguous,True
mozambique,Mozambique,15,155,1877,1966,ambiguous,True
chinde,Chinde,9,155,1896,1946,ambiguous,True
macao,Macao,3,154,1867,1963,local,True
cross_river,Cross River,8,154,1894,1951,local,True
batavia,Batavia,12,153,1877,1951,ambiguous,True
fremantle,Fremantle,4,153,1877,1964,local,True
san_salvador,San Salvador,8,153,1886,1966,ambiguous,True
ocean_island,Ocean Island,7,153,1905,1963,ambiguous,True
ireland,Ireland,31,150,1867,1965,external_reference,False
the_gambia,The Gambia,2,150,1867,1966,local,False
christmas_island,Christmas Island,14,150,1890,1963,ambiguous,True
abaco,Abaco,4,149,1867,1966,local,True
bermudas,Bermudas,8,148,1877,1966,local,False
nuwara_eliya,Nuwara Eliya,1,148,1877,1946,local,False
manila,Manila,13,148,1888,1964,ambiguous,True
foreign,Foreign,22,147,1877,1963,ambiguous,True
grand_cayman,Grand Cayman,3,147,1886,1966,local,True
bechuanaland,Bechuanaland,18,147,1889,1966,ambiguous,True
demerara_river,Demerara River,1,146,1886,1966,local,True
harbour_island,Harbour Island,4,145,1867,1955,local,True
grand_port,Grand Port,2,145,1878,1955,local,True
river_the,River. The,16,145,1879,1966,ambiguous,True
beaufort,Beaufort,4,145,1897,1951,local,False
brindisi,Brindisi,12,144,1877,1940,ambiguous,True
cat_island,Cat Island,5,143,1883,1966,local,True
arabia,Arabia,13,143,1890,1966,ambiguous,True
trengganu,Trengganu,14,143,1909,1957,local,True
vanua_levu,Vanua Levu,4,142,1877,1966,local,True
paria,Paria,3,141,1877,1951,local,True
marlborough,Marlborough,8,140,1867,1961,ambiguous,True
bordeaux,Bordeaux,9,139,1880,1957,ambiguous,True
cook_islands,Cook Islands,13,139,1890,1966,ambiguous,True
river_niger,River Niger,3,138,1908,1951,local,True
out_islands,Out Islands,4,137,1910,1966,local,True
gulf_of_paria,Gulf of Paria,3,136,1877,1951,local,True
plaines_wilhems,Plaines Wilhems,2,136,1878,1955,local,True
st_michael,St. Michael,8,135,1867,1966,ambiguous,True
plymouth,Plymouth,19,132,1867,1964,ambiguous,True
matara,Matara,1,132,1880,1946,local,False
barbuda,Barbuda,7,132,1888,1966,ambiguous,False
jaffna,Jaffna,1,128,1867,1946,local,True
guadeloupe,Guadeloupe,10,128,1888,1966,ambiguous,True
bonthe,Bonthe,2,128,1889,1960,local,True
dakar,Dakar,8,128,1889,1965,ambiguous,True
tangier,Tangier,7,127,1888,1966,ambiguous,True
volta_river,Volta River,5,127,1889,1950,local,True
lamu,Lamu,9,127,1896,1951,ambiguous,True
shanghai,Shanghai,4,126,1877,1952,local,False
labrador,Labrador,3,125,1883,1927,local,True
matale,Matale,4,124,1880,1946,local,False
greece,Greece,9,124,1890,1960,ambiguous,True
north_front,North Front,1,124,1894,1966,local,False
orange_river,Orange River,13,123,1877,1922,ambiguous,True
mediterranean_sea,Mediterranean Sea,3,123,1877,1951,local,False
kurunegala,Kurunegala,2,123,1883,1946,local,False
morphou,Morphou,1,123,1888,1959,local,True
badulla,Badulla,1,122,1867,1946,local,False
sherbro,Sherbro,2,121,1879,1955,local,True
pangkor,Pangkor,6,121,1888,1957,local,True
kalutara,Kalutara,1,120,1878,1946,local,False
east_africa_protectorate,East Africa Protectorate,7,120,1898,1948,ambiguous,False
malayan_peninsula,Malayan Peninsula,6,119,1867,1951,local,True
orinoco,Orinoco,4,119,1877,1966,local,False
batticaloa,Batticaloa,2,118,1867,1946,local,False
cape_coast_castle,Cape Coast Castle,4,117,1867,1950,local,True
portland,Portland,6,117,1867,1961,local,True
roseau,Roseau,7,116,1867,1966,ambiguous,True
amsterdam,Amsterdam,17,116,1878,1963,ambiguous,True
sombrero,Sombrero,15,116,1889,1966,ambiguous,True
port_commission,Port Commission,1,116,1914,1946,local,True
rum_cay,Rum Cay,3,115,1867,1955,local,False
new_orleans,New Orleans,3,115,1888,1966,local,True
souillac,Souillac,2,114,1877,1966,local,True
grand_bahama,Grand Bahama,5,114,1905,1966,local,True
the_islands,The Islands,17,113,1867,1966,ambiguous,True
port_darwin,Port Darwin,9,113,1877,1940,local,True
lyttelton,Lyttelton,1,113,1888,1922,local,False
local_agents,Local Agents,4,113,1923,1956,local,False
carlisle_bay,Carlisle Bay,4,112,1867,1951,local,True
south_atlantic_ocean,South Atlantic Ocean,3,112,1867,1966,local,False
tarkwa,Tarkwa,4,112,1894,1956,local,False
berbera,Berbera,5,112,1905,1960,local,True
watling,Watling,4,111,1867,1966,local,False
falklands,Falklands,2,111,1877,1966,local,False
panama,Panama,11,111,1879,1966,ambiguous,False
negombo,Negombo,1,111,1883,1946,local,False
salamis,Salamis,1,111,1908,1951,local,True
diego_garcia,Diego Garcia,1,110,1877,1965,local,False
tel_aviv,Tel-Aviv,2,110,1927,1958,local,False
st_paul,St. Paul,11,109,1867,1964,ambiguous,True
guatemala,Guatemala,3,109,1867,1966,local,False
seychelles_islands,Seychelles Islands,2,109,1877,1966,local,True
new_caledonia,New Caledonia,10,109,1888,1966,ambiguous,True
aden_protectorate,Aden Protectorate,3,109,1933,1966,local,False
saskatchewan,Saskatchewan,3,108,1888,1922,local,False
electoral_district,Electoral District,3,107,1888,1930,local,True
norfolk_island,Norfolk Island,20,106,1867,1966,ambiguous,True
tiberias,Tiberias,1,106,1921,1946,local,True
lisbon,Lisbon,11,105,1888,1962,ambiguous,True
lafonia,Lafonia,2,105,1888,1966,local,True
salaga,Salaga,5,105,1890,1950,trading_partner,True
kabaka,Kabaka,3,105,1906,1962,local,False
ovalau,Ovalau,2,104,1877,1966,local,True
gambia_river,Gambia River,2,104,1910,1963,local,True
placentia,Placentia,1,103,1867,1927,local,True
port_adelaide,Port Adelaide,1,103,1867,1917,local,True
acre,Acre,1,103,1921,1946,local,False
nelson,Nelson,7,100,1867,1950,ambiguous,True
scarborough,Scarborough,9,100,1867,1957,ambiguous,True
launceston,Launceston,3,100,1877,1917,local,True
moka,Moka,2,100,1878,1951,local,True
pondoland,Pondoland,2,100,1888,1922,local,False
miri,Miri,2,100,1912,1963,local,True
crooked_island,Crooked Island,3,99,1867,1966,local,True
fanning_island,Fanning Island,12,99,1890,1963,ambiguous,True
tawau,Tawau,3,99,1900,1963,local,True
st_david,St. David,14,98,1867,1966,ambiguous,True
alberta,Alberta,3,98,1888,1922,local,False
graham_land,Graham Land,3,98,1922,1966,local,False
winnebah,Winnebah,4,97,1877,1925,local,False
fort_james,Fort James,2,97,1889,1963,local,True
ujiji,Ujiji,11,97,1896,1951,ambiguous,True
exuma,Exuma,5,96,1867,1966,local,False
basseterre,Basseterre,10,96,1867,1966,ambiguous,True
tongatapu,Tongatapu,4,95,1946,1966,local,True
the_leeward_islands,The Leeward Islands,7,94,1877,1962,ambiguous,True
albreda,Albreda,2,94,1880,1963,local,False
sherbro_island,Sherbro Island,2,94,1889,1960,local,True
south_shetland,South Shetland,2,94,1922,1962,local,False
port_said,Port Said,6,93,1877,1956,local,True
perim,Perim,3,93,1897,1966,local,True
kingstown,Kingstown,4,92,1894,1966,local,True
the_falkland_islands,The Falkland Islands,2,91,1867,1966,local,True
river_belize,River Belize,2,91,1877,1953,local,True
christchurch,Christchurch,5,91,1877,1922,local,True
st_julian,St. Julian,2,91,1883,1951,local,True
mahin,Mahin,3,91,1889,1951,local,True
turks_island,Turks Island,6,90,1867,1952,local,True
machakos,Machakos,5,90,1910,1963,local,False
alexandria,Alexandria,7,89,1877,1951,ambiguous,True
cockburn_harbour,Cockburn Harbour,1,89,1877,1966,local,True
berbice_river,Berbice River,1,89,1889,1951,local,True
sefwi,Sefwi,3,89,1896,1950,local,False
tarawa,Tarawa,6,89,1909,1963,local,True
st_pierre,St. Pierre,6,88,1883,1948,local,True
port_moresby,Port Moresby,3,88,1889,1963,local,True
toro,Toro,5,88,1909,1962,local,True
cayman_islands,Cayman Islands,8,88,1912,1966,ambiguous,True
mossel_bay,Mossel Bay,3,87,1867,1922,local,True
turks_islands,Turks Islands,5,87,1877,1965,local,True
puttalam,Puttalam,2,87,1880,1946,local,False
blue_mountains,Blue Mountains,2,87,1894,1951,local,True
st_jago,St. Jago,5,86,1867,1951,local,True
glasgow,Glasgow,12,86,1894,1951,ambiguous,True
krobo,Krobo,4,86,1894,1950,local,False
sierra_leone_government,Sierra Leone Government,1,86,1910,1960,local,False
manchester,Manchester,9,85,1879,1961,ambiguous,True
atiu,Atiu,4,85,1894,1924,local,False
nupe,Nupe,2,85,1900,1951,local,True
ilorin,Ilorin,3,85,1907,1953,local,False
garbutt,Garbutt,2,84,1878,1951,local,False
genoa,Genoa,10,84,1888,1956,ambiguous,True
lome,Lome,5,84,1894,1956,local,True
river_sierra_leone,River Sierra Leone,1,84,1900,1960,local,True
belize_city,Belize City,1,84,1963,1966,local,True
river_gambia,River Gambia,2,83,1879,1965,local,True
naples,Naples,8,83,1880,1964,ambiguous,False
asia_minor,Asia Minor,1,83,1883,1952,local,False
cayman_brac,Cayman Brac,2,83,1886,1966,local,False
chilaw,Chilaw,2,83,1886,1946,local,False
bay_of_islands,Bay of Islands,3,83,1886,1927,local,True
mirs_bay,Mirs Bay,1,83,1899,1966,local,True
tororo,Tororo,6,83,1928,1962,local,True
fijian_affairs,Fijian Affairs,4,83,1946,1966,local,False
vryburg,Vryburg,9,82,1889,1966,ambiguous,True
tahiti,Tahiti,14,82,1894,1966,ambiguous,True
socotra,Socotra,3,82,1897,1966,local,True
rovuma_river,Rovuma River,5,82,1921,1951,local,True
ragged_island,Ragged Island,4,81,1867,1950,local,True
delagoa_bay,Delagoa Bay,7,81,1877,1932,ambiguous,True
lagos_island,Lagos Island,5,81,1879,1951,local,True
western_pacific_islands,Western Pacific Islands,4,81,1890,1964,local,True
south_sandwich,South Sandwich,2,81,1922,1966,local,False
st_philip,St. Philip,7,80,1867,1966,ambiguous,True
corozal,Corozal,1,80,1879,1966,local,True
ankole,Ankole,3,80,1909,1962,local,False
nkana,Nkana,1,80,1931,1955,local,False
mahebourg,Mahebourg,1,79,1878,1966,local,True
hebron,Hebron,3,79,1889,1946,local,False
moratuwa,Moratuwa,1,79,1905,1946,local,False
rangoon,Rangoon,10,78,1877,1957,ambiguous,True
friendly_islands,Friendly Islands,7,78,1888,1966,ambiguous,True
st_peter,St. Peter,6,77,1867,1966,local,True
la_brea,La Brea,4,77,1877,1957,trading_partner,True
bomvanaland,Bomvanaland,2,77,1880,1922,local,False
south_orkney,South Orkney,2,77,1922,1962,local,False
brunei_town,Brunei Town,1,77,1948,1963,local,True
long_cay,Long Cay,4,76,1867,1950,local,False
toronto,Toronto,9,76,1877,1966,ambiguous,True
southern_district,Southern District,16,76,1877,1951,ambiguous,True
comino,Comino,2,76,1877,1964,local,False
tunis,Tunis,2,76,1877,1962,local,True
kombo_st,Kombo St,2,76,1913,1965,local,True
asia,Asia,13,75,1867,1963,ambiguous,True
bay_of_honduras,Bay of Honduras,8,75,1867,1951,ambiguous,True
port_augusta,Port Augusta,5,75,1877,1920,local,True
suez,Suez,10,75,1878,1951,ambiguous,False
cape_horn,Cape Horn,2,75,1888,1966,local,True
waya,Waya,1,75,1888,1951,local,True
wassaw,Wassaw,4,75,1889,1950,local,False
deep_bay,Deep Bay,6,75,1896,1966,local,True
weihaiwei,Weihaiwei,2,75,1905,1930,local,True
lahad_datu,Lahad Datu,2,75,1918,1963,local,False
mean,Mean,3,75,1921,1966,local,False
vancouver_island,Vancouver Island,4,74,1877,1922,local,True
torres_straits,Torres Straits,9,74,1877,1927,ambiguous,True
belize_river,Belize River,1,74,1880,1966,local,True
aowin,Aowin,4,74,1894,1950,local,False
reunion,Reunion,2,74,1908,1966,local,True
andros_island,Andros Island,3,73,1867,1953,local,True
