col_name,col_year_min,col_year_max,col_year_count,colony_id,canonical_name,wikidata_id,year_start,year_end,confidence,has_temporal_split,note
Labuan,1867,1923,12,labuan_1846_1963,Labuan,Q6420545,1867,1923,verified,False,
Lagos,1878,1900,8,lagos_protectorate_1887_1906,Lagos Colony,Q472146,1878,1900,verified,False,
Leeward Islands,1877,1959,24,federal_colony_leeward_islands_1833-1960,British Leeward Islands,Q1796551,1877,1959,verified,False,
Malaysia,1964,1964,1,malaya_independent_1957_1963,Malaya (Independent),Q1479726,1964,1964,verified,False,
Malta,1877,1964,42,malta_1800_1964,Malta,Q6744657,1877,1964,verified,False,
Mauritius,1877,1966,35,mauritius_1814_1968,Mauritius,Q12053604,1877,1966,verified,False,
Mesopotamia,1921,1921,1,mandatory_iraq_1920_1932,Mandatory Iraq,Q146720,1921,1921,verified,False,COL year 1921 falls within Mandatory Iraq period (1920-1932)
Miscellaneous Islands,1948,1951,3,,,,1948,1951,no_kg_node,False,Omnibus category; individual islands have separate KG nodes
Montserrat,1894,1966,7,montserrat_1632_ongoing,Montserrat,Q13353,1894,1966,verified,False,
Natal,1877,1900,12,colony_of_natal_1843_1910,Colony of Natal,Q1301901,1877,1900,verified,False,
Nauru,1925,1925,1,nauru_1920_1968,Nauru,Q21816219,1925,1925,verified,False,
Nevis,1867,1867,1,saint_christopher_nevis_anguilla_1958_1983,Saint Kitts and Nevis Colony,Q1637975,1867,1867,verified,False,
New Brunswick,1867,1867,1,new_brunswick_1784_1867,New Brunswick,Q107499350,1867,1867,verified,False,
New South Wales,1867,1896,10,new_south_wales_original_1788_1901,New South Wales,Q18348382,1867,1896,verified,False,
New Zealand,1867,1900,13,new_zealand_colony_1840_1907,New Zealand Colony,Q664,1867,1900,verified,False,
Newfoundland,1867,1921,19,colony_of_newfoundland_1610_1949,Colony of Newfoundland,Q2984260,1867,1900,verified,True,Colony of Newfoundland
Newfoundland,1867,1921,19,dominion_of_newfoundland_1907_1934,Dominion of Newfoundland,Q38610,1908,1921,verified,True,Dominion of Newfoundland
Niger Coast Protectorate,1894,1894,1,niger_coast_protectorate_1893_1900,Niger Coast Protectorate,Q2566427,1894,1894,verified,False,
Niger Protectorate,1890,1890,1,oil_rivers_protectorate_1885_1893,Oil Rivers Protectorate,Q2566427,1890,1890,verified,False,Oil Rivers Protectorate — part of combined COL heading
Niger Protectorate,1890,1890,1,royal_niger_company_territory_1886_1900,Royal Niger Company Territory,Q1806380,1890,1890,verified,False,Royal Niger Company Territory — part of combined COL heading
Niger Territories,1894,1894,1,royal_niger_company_territory_1886_1900,Royal Niger Company Territory,Q1806380,1894,1894,verified,False,
Nigeria,1933,1956,6,colony_and_protectorate_of_nigeria_1914_1960,Colony and Protectorate of Nigeria,Q5148517,1933,1956,verified,False,
North Borneo,1890,1963,32,british_north_borneo_1882_1946,British North Borneo,Q1147441,1890,1940,verified,True,British North Borneo (Company territory)
North Borneo,1890,1963,32,north_borneo_crown_colony_1946_1963,North Borneo Crown Colony,Q16933920,1948,1963,verified,True,North Borneo Crown Colony
Northern Nigeria,1900,1912,5,northern_nigeria_1900_1914,Northern Nigeria,Q585408,1900,1912,verified,False,
Northern Rhodesia,1925,1964,24,northern_rhodesia_colony_1924_1953,Northern Rhodesia Colony,Q953903,1925,1964,verified,False,
Nova Scotia,1867,1867,1,nova_scotia_post_1784_1867,Nova Scotia,Q98931415,1867,1867,verified,False,
Nyasaland,1908,1964,35,nyasaland_1891_1964,Nyasaland,Q1649306,1908,1964,verified,False,
Orange River Colony,1908,1908,1,orange_river_colony_1900_1910,Orange River Colony,Q1142179,1908,1908,verified,False,
Palestine,1921,1946,8,palestine_1920_1948,Palestine,Q193714,1921,1946,verified,False,
Papua,1911,1911,1,territory_of_papua_1906_1949,Territory of Papua,Q530560,1911,1911,verified,False,
Pitcairn Island,1966,1966,1,pitcairn_islands_1838_ongoing,Pitcairn Islands,Q35672,1966,1966,verified,False,
Prince Edward Island,1867,1889,2,prince_edward_island_1769_1873,Prince Edward Island,Q137324703,1867,1889,verified,False,
Queensland,1867,1899,13,queensland_1859_1901,Queensland,Q28401203,1867,1899,verified,False,
Rhodesia,1899,1923,6,british_south_africa_company_territory_1889_1923,British South Africa Company Territory,Q5155572,1899,1923,verified,False,
Sarawak,1890,1963,29,sarawak_1841_1946,Sarawak,Q1658411,1890,1940,verified,True,Sarawak (Brooke family rule)
Sarawak,1890,1963,29,sarawak_crown_colony_1946_1963,Sarawak Crown Colony,Q5589708,1948,1963,verified,True,Sarawak Crown Colony
Seychelles,1894,1966,42,seychelles_1903_1976,Seychelles,Q21821453,1894,1966,verified,False,
Sierra Leone,1878,1960,42,sierra_leone_colony_and_protectorate_1787_1961,Sierra Leone Colony and Protectorate,Q30059027,1878,1960,verified,False,
Singapore,1867,1963,12,singapore_crown_colony_1946_1963,Singapore Crown Colony,Q4373718,1867,1963,verified,False,
South Africa,1896,1908,3,union_of_south_africa_1910_1961,Union of South Africa,Q193619,1896,1908,verified,False,
South Australia,1867,1908,15,south_australia_1836_1901,South Australia,Q35715,1867,1908,verified,False,
Southern Nigeria,1900,1908,2,southern_nigeria_protectorate_1900_1914,Southern Nigeria Protectorate,Q2062030,1900,1908,verified,False,
Southern Rhodesia,1911,1925,2,southern_rhodesia_colony_1923_1953,Southern Rhodesia Colony,Q750583,1911,1925,verified,False,
St Christopher and Nevis,1867,1966,11,saint_christopher_nevis_anguilla_1958_1983,Saint Kitts and Nevis Colony,Q1637975,1867,1966,verified,False,
St Helena,1867,1966,47,st._helena_1659_ongoing,St. Helena,Q34497,1867,1966,verified,False,
St Lucia,1867,1966,20,saint_lucia_colony_1814_1979,Saint Lucia Colony,Q15238409,1867,1966,verified,False,
St Vincent,1867,1966,21,st_vincent_colony_1763_1979,St. Vincent Colony,Q15240384,1867,1966,verified,False,
Straits Settlements,1867,1923,14,straits_settlements_1826_1946,Straits Settlements,Q376178,1867,1923,verified,False,
Swaziland,1908,1966,10,swaziland_1903_1968,Swaziland,Q1050,1908,1966,verified,False,
Tanganyika,1921,1961,17,tanganyika_1961_1964,Tanganyika,Q158725,1921,1961,verified,False,
Tasmania,1867,1908,13,tasmania_1856_1901,Tasmania,Q5148519,1867,1908,verified,False,
Territory of New Guinea,1925,1925,1,territory_of_new_guinea_1920_1975,Territory of New Guinea,Q1443945,1925,1925,verified,False,
Tobago,1867,1894,7,trinidad_and_tobago_1889_1962,Colony of Trinidad and Tobago,Q116282722,1867,1894,verified,False,
Togoland,1921,1925,2,british_togoland_1919_1957,British Togoland,Q797527,1921,1925,verified,False,
Tonga,1931,1966,18,tonga_protectorate_1900_1970,Tonga Protectorate,Q17197946,1931,1966,verified,False,
Transjordan,1927,1940,10,transjordan_1922_1946,Transjordan,Q1121819,1927,1940,verified,False,
Transvaal,1878,1880,3,transvaal_colony_second_british_1900_1910,Transvaal Colony (Second British),Q1187978,1878,1880,verified,False,
Trinidad,1867,1948,14,trinidad_and_tobago_1889_1962,Colony of Trinidad and Tobago,Q116282722,1867,1948,verified,False,
Trinidad and Tobago,1900,1962,7,trinidad_and_tobago_1889_1962,Colony of Trinidad and Tobago,Q116282722,1900,1962,verified,False,
Turks and Caicos Islands,1878,1966,24,turks_and_caicos_islands_1799_ongoing,Turks and Caicos Islands,Q18221,1878,1966,verified,False,
Uganda,1910,1962,27,uganda_1894_1962,Uganda,Q1097943,1910,1962,verified,False,
Unfederated Malay States,1933,1936,2,unfederated_malay_states_1909_1946,Unfederated Malay States,Q1973084,1933,1936,verified,False,
Victoria,1867,1896,12,victoria_colony_1851_1901,Victoria (Colony),Q56850459,1867,1896,verified,False,
Virgin Islands,1878,1966,15,british_virgin_islands_1672_ongoing,British Virgin Islands,Q25305,1878,1966,verified,False,
Weihaiwei,1908,1930,11,weihaiwei_1898_1930,Weihaiwei,Q15939896,1908,1930,verified,False,Alias: 'Weihaiwei' → 'Wei-hai-Wei'
West Africa Settlements,1867,1877,2,,,,1867,1877,no_kg_node,False,"Administrative grouping, no single KG node; contained Gold Coast, Lagos, Gambia, Sierra Leone"
Western Australia,1867,1900,12,western_australia_1832_1901,Western Australia,Q3206,1867,1900,verified,False,
Western Pacific,1894,1961,19,british_western_pacific_territories_1877_1978,British Western Pacific Territories,Q1545934,1894,1961,verified,False,
Windward Islands,1877,1957,16,british_windward_islands_1833_1959,British Windward Islands,Q2660774,1877,1957,verified,False,
Zanzibar,1911,1963,30,zanzibar_1890_1963,Zanzibar,Q3574782,1911,1963,verified,False,
Zululand,1888,1896,5,zululand_1887_1897,Zululand,Q729768,1888,1896,verified,False,
